,Unnamed: 0,statnNo,statnNm,km,express,location,people,time,transfer,sameTrans,diffTrans,trainTrans,airTrans,platform,transport,store,public_med_facility,multi_facility
98,14,615,E 143 St-St Mary's St,9.3,0,0,-0.7429692038176239,-0.3399593529178172,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-1.979348169822326,-1.1522526955966752,-0.5569282150859187
99,15,616,Cypress Avenue,10.0,0,0,-0.6624437451635172,0.29020920371033215,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-0.8004260624046398,-0.4383570037596047,-0.2457036243026112
100,16,617,Brook Avenue,10.6,0,0,-0.5764425553209312,-1.2852121878600413,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.771470080818942,0.037573457465108984,-0.2457036243026112
101,17,618,Third Avenue­138th Street,11.2,1,0,-0.5013928278553039,0.6052934820244068,-0.7500202754761396,-0.6379527762554914,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,1.9364916731037087,-0.3892494720807616,-1.900753362661147,-0.4383570037596047,-0.5569282150859187
102,18,619,125th Street,12.9,1,0,0.16608269892858646,2.4957991519088547,0.9264956344117017,0.29443974288714986,2.3426064283290917,2.915475947422651,4.242640687119286,1.9364916731037087,-0.3892494720807616,-0.32885721943756524,0.27553868807746584,0.6879701480473113
103,19,620,116th Street,13.6,1,0,-0.27322394075889256,1.550546316966631,-0.3308912980041792,-0.1717565166841708,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,2.569046515733027,0.06411681636833018,0.5135039186898226,-0.2457036243026112
104,20,621,110th Street,14.1,1,0,-0.41180825510261015,-0.3399593529178172,-0.3308912980041792,-0.1717565166841708,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-0.6432364480822816,-0.4383570037596047,0.06552096648069632
105,21,622,103rd Street,14.7,1,0,-0.33200752557639046,-0.3399593529178172,-0.3308912980041792,-0.1717565166841708,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,2.569046515733027,0.14271162352950925,1.46536484113925,-0.5569282150859187
106,22,623,96th Street,15.2,1,0,-0.21005171844474588,-0.3399593529178172,-0.3308912980041792,-0.1717565166841708,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,2.569046515733027,0.771470080818942,-0.20039177314724785,-0.2457036243026112
107,23,624,86th Street,16.0,1,0,0.7157092169721916,0.6052934820244068,0.5073666569397415,0.29443974288714986,0.8589556903873338,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,2.569046515733027,0.3784960450130465,0.037573457465108984,-0.2457036243026112
108,24,625,77th Street,16.8,1,0,0.08515461298120923,0.6052934820244068,0.08823767946778112,-0.1717565166841708,0.8589556903873338,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.4570908521742256,3.6070519166504615,-0.2457036243026112
109,25,626,68th Street­Hunter College,17.5,1,0,-0.038572754240825693,0.6052934820244068,-0.3308912980041792,-0.1717565166841708,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-1.2719949053717143,-1.1522526955966752,-0.2457036243026112
110,26,627,59th Street,18.2,1,0,1.0712693796593997,0.6052934820244068,3.0221405217715036,3.091617300315074,0.8589556903873338,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.22130643069068834,-0.9142874649843183,-0.5569282150859187
111,27,628,51st Street,18.9,1,0,1.3135704847496068,0.6052934820244068,0.5073666569397415,0.7606360024584705,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,1.3216337309471955,1.9412953023639639,-0.2457036243026112
112,28,629,Grand Central­42nd Street,19.8,1,0,4.268572978250033,1.550546316966631,1.7647535893556225,1.2268322620297913,2.3426064283290917,2.915475947422651,4.242640687119286,1.9364916731037087,2.569046515733027,1.79320257391427,0.27553868807746584,0.06552096648069632
113,29,630,33rd Street,20.5,1,0,0.20799620015804898,1.550546316966631,0.5073666569397415,-0.1717565166841708,2.3426064283290917,2.915475947422651,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,1.4788233452695538,-0.20039177314724785,1.6216439203972337
114,30,631,28th Street,21.0,1,0,-0.13395516001661506,-0.3399593529178172,-0.3308912980041792,-0.6379527762554914,0.8589556903873338,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,1.1644441166248374,2.6551909942010345,0.3767455572640038
115,31,632,23rd Street,21.4,1,0,0.17763810224545076,-0.3399593529178172,0.5073666569397415,-0.1717565166841708,2.3426064283290917,2.915475947422651,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,-1.979348169822326,-1.1522526955966752,-0.5569282150859187
116,32,633,14th Street­Union Square,22.0,1,0,2.7947960339625726,-0.3399593529178172,2.603011544299543,2.6254210407437535,0.8589556903873338,-0.3429971702850177,-0.23570226039551584,1.9364916731037087,-0.3892494720807616,0.29990123785186745,0.9894343799145363,0.6879701480473113
117,33,634,Astor Place,22.5,1,0,-0.17055398097490654,0.6052934820244068,-0.3308912980041792,-0.1717565166841708,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.29990123785186745,0.037573457465108984,-0.5569282150859187
118,34,635,Bleecker Street,23.1,1,0,0.5963302245174785,-1.2852121878600413,1.3456246118836621,1.693028521601112,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.5356856593354047,-0.4383570037596047,1.9328685111805413
119,35,636,Spring Street,23.5,1,0,-0.3634527171808191,-0.3399593529178172,-0.3308912980041792,-0.1717565166841708,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,1.1644441166248374,0.27553868807746584,0.06552096648069632
120,36,637,Canal Street,24.1,1,0,0.9721022773268673,-1.2852121878600413,2.1838825668275827,2.6254210407437535,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,-0.5163977794943223,-0.3892494720807616,0.9286596951413001,-0.4383570037596047,5.045114419013616
121,37,638,Brooklyn Bridge­City Hall,24.8,1,0,0.222369994527807,-0.3399593529178172,0.9264956344117017,1.2268322620297913,-0.6246950475544245,-0.3429971702850177,-0.23570226039551584,1.9364916731037087,-0.3892494720807616,-1.743563748338789,-0.4383570037596047,-0.5569282150859187
